year	TotalPMID
1842	1
1855	2
1865	3
1866	12
1867	36
1868	96
1869	60
1870	70
1871	62
1872	40
1873	148
1874	40
1875	117
1876	118
1877	48
1878	160
1879	165
1880	475
1881	611
1882	120
1883	829
1884	1042
1885	1137
1886	1117
1887	1043
1888	797
1889	1184
1890	802
1891	677
1892	924
1893	1126
1894	588
1895	861
1896	1110
1897	1115
1898	1186
1899	1065
1900	999
1901	1165
1902	1162
1903	1356
1904	1382
1905	1677
1906	1640
1907	1501
1908	2146
1909	2329
1910	2446
1911	2778
1912	2632
1913	2852
1914	2878
1915	2690
1916	2580
1917	2341
1918	2345
1919	2486
1920	2778
1921	2757
1922	2886
1923	3143
1924	3570
1925	3792
1926	3817
1927	4385
1928	3937
1929	3925
1930	3853
1931	3867
1932	3966
1933	3952
1934	3913
1935	3915
1936	3729
1937	3733
1938	4085
1939	3847
1940	3678
1941	3533
1942	3460
1943	3315
1944	3524
1945	19358
1946	53447
1947	65181
1948	70849
1949	61665
1950	81892
1951	101884
1952	107328
1953	107941
1954	104906
1955	107875
1956	106349
1957	110968
1958	108853
1959	109415
1960	111367
1961	119435
1962	126653
1963	142610
1964	161222
1965	176170
1966	179231
1967	190876
1968	207376
1969	214514
1970	218364
1971	222747
1972	226655
1973	230322
1974	233913
1975	247586
1976	253354
1977	260170
1978	270505
1979	279409
1980	277578
1981	280115
1982	291660
1983	305197
1984	314232
1985	331167
1986	345083
1987	363163
1988	381367
1989	398240
1990	405351
1991	407064
1992	411752
1993	419596
1994	430021
1995	440711
1996	449977
1997	449337
1998	467703
1999	486003
2000	525490
2001	537827
2002	553413
2003	579082
2004	614301
2005	650007
2006	675980
2007	699785
2008	734296
2009	764695
2010	876008
2011	875902
2012	126975
2013	136649
